Component,Source,Link (URL),Price,Extra Costs (Shipping),Already Have?,Add
150mm x 150mm Silicone 24V Heater - 1 unit,Aliexpress,https://www.aliexpress.us/item/3256803865462882.html?spm=a2g0o.productlist.main.2.37ec246cz3Ftzi&algo_pvid=c1d400ae-07b3-4c00-a0a1-f6f550e64c11&algo_exp_id=c1d400ae-07b3-4c00-a0a1-f6f550e64c11-1&pdp_ext_f=%7B%22order%22%3A%222054%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.83%212.08%21%21%214.83%212.08%21%4021030a6217737789293652841eae75%2112000027868905863%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895&curPageLogUid=jTds3x3op9Wa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004051777634%7C_p_origin_prod%3A,8.59,4.69,no,
150mm x 150mm Magnetic PEI Sheet: 1 unit.,Aliexpress,https://www.aliexpress.us/item/3256806185002944.html?spm=a2g0o.productlist.main.2.5cb88yVr8yVrTd&algo_pvid=e86dfa84-aa5c-4d0b-8e00-603351bde55f&algo_exp_id=e86dfa84-aa5c-4d0b-8e00-603351bde55f-1&pdp_ext_f=%7B%22order%22%3A%2223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.92%217.14%21%21%218.92%217.14%21%402101eecd17737790825022641ecf4f%2112000036932763349%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895%3BpisId%3A5000000202468775&curPageLogUid=mbzoxXalSfrk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006371317696%7C_p_origin_prod%3A,10.54,0.96,no,
Bed Insulation: 1 unit (Adhesive cotton pad).,Aliexpress,https://www.aliexpress.us/item/2255799885213654.html?spm=a2g0o.productlist.main.3.624cJcKgJcKghH&algo_pvid=dd67c253-7082-405d-a850-e2fc9fdd8900&algo_exp_id=dd67c253-7082-405d-a850-e2fc9fdd8900-2&pdp_ext_f=%7B%22order%22%3A%22591%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.92%212.74%21%21%212.92%212.74%21%40210328db17737792673122967e97e7%2110000004019358372%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895&curPageLogUid=G3WLja1z4Cl0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000071528406%7C_p_origin_prod%3A,2.72,0.25,no,
8.  (Cables & Consumables),,,,,no,
16AWG Wire (Red/Black): 2 Meters (PSU to Mainboard and Bed).,Aliexpress,https://www.aliexpress.us/item/3256810592963671.html?spm=a2g0o.productlist.main.3.551a2d1d0O1gq5&algo_pvid=75147e23-e312-49d1-95ea-b0f19e4782b2&algo_exp_id=75147e23-e312-49d1-95ea-b0f19e4782b2-2&pdp_ext_f=%7B%22order%22%3A%221457%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.85%211.84%21%21%2112.64%2112.60%21%402101c44f17737808055072112e4048%2112000053482331377%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895&curPageLogUid=USTofQl800OK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010779278423%7C_p_origin_prod%3A,5.81,0.53,no,
"22AWG Wire (Assorted Colors): 5 Meters (For extending fans, sensors, and probe).",Aliexpress,https://www.aliexpress.us/item/3256810376809500.html?spm=a2g0o.productlist.main.5.2ff72d1dwQrfA3&algo_pvid=22129462-3f09-4402-ba8b-f64f6c19dac2&algo_exp_id=22129462-3f09-4402-ba8b-f64f6c19dac2-4&pdp_ext_f=%7B%22order%22%3A%2267%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.54%216.68%21%21%21106.36%2145.73%21%402101e80317737807317212922e2666%2112000052825874834%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895&curPageLogUid=MmF9xhS7EBTP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010563124252%7C_p_origin_prod%3A,7.36,0.67,no,
JST XH Crimping Tool,Aliexpress,https://www.aliexpress.us/item/3256806491526136.html?gatewayAdapt=glo2usa,12.27,1.12,no,
JST-XH Connector Kit: 1 box (To terminate custom wire lengths).,Aliexpress,https://www.aliexpress.us/item/3256810317734290.html?spm=a2g0o.productlist.main.5.6fe3xZhZxZhZFO&algo_pvid=669ac097-cf82-4744-8dc3-ba0d9c77f74a&algo_exp_id=669ac097-cf82-4744-8dc3-ba0d9c77f74a-4&pdp_ext_f=%7B%22order%22%3A%22127%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.03%213.85%21%21%2154.96%2126.38%21%402103129f17737809761208265efab1%2112000052612436260%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895&curPageLogUid=fkaHsyrFX9hm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010504049042%7C_p_origin_prod%3A,3.85,0.35,no,
M3 / M4 / M5 Button Head Bolt Assortment: 1 box (For mounting printed parts).,Aliexpress,https://www.aliexpress.us/item/3256809799426779.html?spm=a2g0o.productlist.main.5.58598a8K8a8K6w&algo_pvid=e5ebb15f-553a-49f5-a53e-493794e126bb&algo_exp_id=e5ebb15f-553a-49f5-a53e-493794e126bb-4&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.58%215.67%21%21%2179.27%2138.84%21%4021033d9d17737843825997256e81df%2112000050762619234%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3A130c1fb9%3Bm03_new_user%3A-29895&curPageLogUid=eeTlafTfeDaY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009985741531%7C_p_origin_prod%3A,5.67,0.62,,
,,Subtotal,Est. Extra Fees,Sum Total,Applicable Discount,FINAL Total
,,343.73,32.48,376.21,45,331.21
